,fips,Sex ratio,Population under 5,Population 5 to 9,Population 10 to 14,Population 15 to 19,Population 20 to 24,Population 25 to 34,Population 35 to 44,Population 45 to 54,Population 55 to 59,Population 60 to 64,Population 65 to 74,Population 75 to 84,Population over 85,Population White (including Hispanic),Population Black,Population Native American,Population Asian,Population Mixed,Population Hispanic,Population White (not Hispanic),Total Housing Units,Poverty Rate,Disability Rate,Less than high school graduate,Some college or associate's degree,Bachelor's degree or higher,High school graduate (or equivalency),LFPR rate total,LFPR 16 to 19 years,LFPR 20 to 24 years,LFPR 25 to 29 years,LFPR 30 to 34 years,LFPR 35 to 44 years,LFPR 45 to 54 years,LFPR 55 to 59 years,LFPR 60 to 64 years,LFPR 65 to 74 years,LFPR 75 years and over,LFPR White,LFPR Black,LFPR Hispanic,Unemployment rate total,Unemployment rate 16 to 19,Unemployment rate 20 to 24,Unemployment rate 25 to 29,Unemployment rate 30 to 34,Unemployment rate 35 to 44,Unemployment rate 45 to 54,Unemployment rate 55 to 59,Unemployment rate 60 to 64,Unemployment rate 65 to 74,Unemployment rate 75 years and over,Unemployment rate White,Unemployment rate Hispanic,Unemployment rate Black,Unemployment rate Male,Unemployment rate Female,Total Population,STEM,Service,Office,Infrastructure,Supply Chain,Margin,Result
0,01001,94.7,5.8,6.9,6.5,6.9,6.4,12.7,13.2,14.0,7.7,4.9,8.7,4.7,1.6,76.8,19.0,0.3,1.0,2.2,2.8,74.6,23493,0.10147202693786544,0.11810342866243487,0.06673037107819717,0.20148795304074807,0.18599413009350899,0.20749436898505222,58.9,35,75.1,77.9,84.2,76.3,75.1,65.3,52.7,16.6,1.8,58.6,57.4,78.4,3.7,10.2,7.2,6,4.3,2.8,1.5,1.6,4.2,1.4,0,3.5,0,5.1,3.9,3.0,18609,0.40405180289107423,0.12676661830297167,0.2312321994733731,0.07641463807834918,0.1615347412542318,-0.4441843716240547,R
1,01003,94.7,5.5,5.7,6.7,6.0,5.1,11.2,12.1,13.3,7.1,7.2,12.1,6.0,1.9,86.2,9.3,0.8,0.9,1.7,4.6,83.1,114164,0.0689158836195639,0.08108092421806531,0.05590346900990731,0.19871500954746746,0.20468725514663633,0.1708909615373454,57.7,42,75.1,79.3,79.1,82.6,80.2,67.3,46.3,22.5,5.4,57.1,59.9,69.2,4.3,11.8,12.1,6.6,2.4,2.3,3.4,1.7,3.9,2.6,2.4,3.9,2.7,8.6,3.7,4.3,68357,0.4105066050294776,0.1433796099887356,0.22473192211477977,0.09598139181064119,0.12540047105636584,-0.5376234283682382,R
2,01005,112.4,5.3,6.4,5.6,5.6,6.3,14.4,12.0,13.1,6.4,6.5,11.2,5.8,1.6,46.8,47.6,0.3,0.5,1.2,4.4,45.8,12013,0.15637720488466758,0.10442915293661563,0.15836402403566582,0.18147896879240163,0.07312463655747238,0.22930800542740842,44.9,24.3,56.5,68.5,48.2,53.0,59.2,50.3,44.9,26.0,6.0,46.4,42.9,43.1,9.2,19.5,14.6,17.3,15.0,7.9,6.7,2.7,1.2,3.2,4.5,4.7,0,14.8,9.9,8.8,6082,0.3030253206182177,0.10802367642222953,0.16885892798421573,0.15537652088128906,0.264715554094048,-0.07663053812511884,R
3,01007,117.5,5.8,5.4,5.0,6.2,5.6,14.6,12.9,15.6,6.3,6.5,9.3,4.6,2.0,76.8,22.3,0.1,0.1,0.6,2.6,74.5,9185,0.11577979666882976,0.1126973826519576,0.1344905905256327,0.17969932943975772,0.07149037421587713,0.29483019684187756,48.9,31.5,63.5,70.8,49.5,63.2,62.1,58.4,44.2,16.3,7.6,52.7,35.5,66.7,7.3,15.2,8.4,7.5,26.4,7.0,3,0.5,1.4,8.5,0,7,3.1,10.3,6.0,8.2,6079,0.23178154301694356,0.14015463069583814,0.17815430169435761,0.15989471952623788,0.2900148050666228,-0.5772798332464826,R
4,01009,97.6,5.9,6.2,7.0,6.3,5.6,11.9,12.6,13.3,6.7,6.6,10.6,5.5,1.8,95.5,1.6,0.1,0.4,1.6,9.3,86.9,24323,0.08684950007624109,0.08530289498333588,0.10871980308014029,0.23937525867514758,0.08774261005946805,0.20600344174091098,49.5,24.1,59,77.9,63.3,73.7,66.3,62.4,38.3,13.8,2.6,49.6,42.6,49.9,3.4,15.8,6.5,4.1,1.3,2.8,3.8,1.1,1.4,0,0,3.4,1.5,1.7,2.9,3.4,17356,0.301509564415764,0.11546439271721595,0.18892601982023507,0.17803641392025812,0.21606360912652686,-0.8000217485863419,R
5,01011,119.1,5.3,6.2,5.4,7.9,5.8,12.4,13.5,13.3,6.6,7.5,10.0,4.4,1.7,21.9,74.8,0.0,0.5,0.8,2.6,21.4,4557,0.1453134328358209,0.06686567164179104,0.15928358208955223,0.14770149253731343,0.060417910447761194,0.28465671641791046,53.6,11.6,51.9,60.5,88.3,63.5,75.3,75.0,55.7,24.8,12.6,55.6,53.7,32.8,3.9,0,6.1,0.7,22.0,0.0,2.1,1.6,0.0,2.8,0,0,0,5.3,4.7,3.2,3498,0.19153802172670098,0.15237278444825614,0.1509433962264151,0.1455117209834191,0.3596340766152087,0.4985909386516367,D
6,01013,84.5,5.8,6.5,6.1,6.4,5.5,11.8,12.8,11.2,7.1,7.1,11.5,5.5,2.6,51.8,45.4,0.1,0.3,2.1,1.4,51.6,10089,0.14773229041821737,0.09972875796379234,0.08257112218507538,0.15599571059105533,0.09960259887718413,0.2875165583801173,53.7,41.9,70.1,87.8,74.6,79.0,70.7,53.5,46.9,15.6,7.1,54.5,53.1,59.7,6.8,10.4,17.9,10.4,9.0,4.4,5.6,2.9,2.9,0,0,3.6,18.1,10.5,6.8,7.2,5670,0.281305114638448,0.12504409171075836,0.19594356261022927,0.12416225749559083,0.27354497354497354,-0.1573566610455312,R
7,01015,92.7,5.8,5.8,6.2,6.8,6.4,13.2,11.9,12.7,7.0,6.9,10.2,5.2,1.8,73.7,20.8,0.3,0.9,2.4,3.8,72.1,53631,0.12058867859526731,0.14124841203195315,0.09091789936050643,0.23041147212712357,0.1170682341795319,0.2007729905475529,56.7,36,76.8,81.3,85.1,75.6,73.1,58.0,47.9,18.5,6.1,56.4,56.2,69.3,8.1,29.4,10.6,12.3,11.1,6.5,4.1,3.2,3.2,5.5,3.9,6.2,12.1,12.7,7.0,7.5,34035,0.30944615836638756,0.1208755692669311,0.2188923167327751,0.11405905685323932,0.23672689878066697,-0.3900319714414609,R
8,01017,91.6,6.1,5.3,6.0,5.4,6.5,12.3,11.4,13.5,7.8,6.5,11.8,5.5,1.9,57.7,39.6,0.3,1.1,1.0,2.4,55.5,16988,0.11290734591103165,0.12195744991424297,0.0874721745794256,0.2194650220778747,0.08499069444951282,0.2400832025690618,56.6,34.9,78.5,91.7,83.7,74.5,75.2,62.3,42.8,16.8,5.6,53.9,58.8,75.7,3.9,6,10.2,3.8,10.4,0.4,3.4,1.1,1.1,1.2,0,4.6,0,3.2,3.9,4.1,10946,0.25379133930202813,0.12506851818015713,0.16855472318655215,0.10844143979535903,0.34414397953590353,-0.156241821512693,R
9,01019,97.3,4.6,5.6,5.7,6.2,5.0,9.6,11.1,14.2,7.8,7.7,13.6,6.9,2.0,92.9,4.6,1.1,0.2,0.9,1.6,91.7,16579,0.09742870500233754,0.10626460963066854,0.09995324918186069,0.1877045348293595,0.0868630201028518,0.2361851332398317,48.8,23.1,66.6,85.6,77.4,77.1,72.2,55.0,36.7,14.0,1.7,49.2,40.9,59.1,4.4,12.8,15,7,2.1,4.5,2.9,1.8,0.0,0,0,3.9,17.6,8.2,5.3,3.3,7883,0.2968413040720538,0.11886337688697196,0.1527337308131422,0.1491817835849296,0.28237980464290247,-0.7283147711568165,R
10,01021,95.0,6.3,7.3,6.0,6.6,5.6,13.1,13.3,12.7,6.7,6.4,9.4,5.2,1.4,83.6,9.2,0.8,0.4,2.5,7.8,80.1,19781,0.13963304332845206,0.14566284779050737,0.11603066586269274,0.1758692968099463,0.07698050363223935,0.29135440893559594,53.8,33,71.9,75.4,66.7,71.9,69.6,57.1,49.6,16.6,6.6,53.2,56.7,62.4,6.4,11.5,11.1,6.6,6.6,8.1,6.2,2.7,0.9,0,0,6,9.1,9.2,7.2,5.6,12953,0.24812784683084999,0.08824210607581255,0.20751949355361693,0.21439048868987878,0.24172006484984174,-0.6738477472812014,R
11,01023,90.6,5.3,4.9,6.2,6.5,5.0,9.9,11.0,13.5,7.9,7.4,12.8,7.4,2.3,56.8,42.6,0.1,0.1,0.4,0.4,56.4,7359,0.1486195601310248,0.16134768366869442,0.08900327562002808,0.2218062704726252,0.08123537669630324,0.20758072063640617,42.4,38.3,52.6,85.3,69.9,65.8,56.9,38.9,31.3,14.6,5.1,44.3,39.7,46.2,7.9,4,43.5,11.5,16.0,5.5,0.2,1.0,1.7,1.2,0,3.8,0,14.2,8.7,8.7,2992,0.3094919786096257,0.12299465240641712,0.16109625668449198,0.1467245989304813,0.25969251336898397,-0.15661843515541266,R
12,01025,89.6,5.7,5.5,6.5,6.6,6.2,10.8,11.8,13.3,7.6,6.6,10.7,6.3,2.4,53.0,45.8,0.1,0.4,0.7,0.3,52.7,12784,0.15807243707796195,0.11162267239615306,0.1053304685901371,0.17347043175772459,0.06880499283814201,0.2709228565582157,45.4,26.1,48.7,70.1,69.8,67.2,58.3,53.9,39.6,17.2,6.7,48.9,40.4,71.7,12.2,36.3,17,9.4,29.5,9.9,9.8,8.9,0.0,5.2,11.4,7.4,0,19.7,7.1,17.0,5862,0.22210849539406347,0.11361310133060389,0.1769020812009553,0.1885022176731491,0.29887410440122825,-0.11945184621240959,R
13,01027,93.3,5.1,5.1,7.3,6.4,5.2,11.3,11.6,13.1,8.4,6.4,11.5,6.5,2.1,83.2,15.6,0.3,0.2,0.7,3.1,80.4,6799,0.107739138455862,0.09685453371460197,0.1457430126372106,0.18457706853611291,0.06558435568674477,0.22774651784890693,53.9,37.6,79,90.3,73.3,75.9,77,68.3,31.9,15.3,1.6,53.1,54.5,72.5,5.4,6.6,9.1,26.9,2.0,2.5,0.5,2.1,0.0,0,0,5.5,0,6.4,5.6,5.6,3812,0.24580272822665267,0.09181532004197272,0.1592339979013641,0.11385099685204617,0.38929695697796435,-0.6253968253968254,R
14,01029,96.1,5.7,7.5,5.6,5.9,5.1,11.8,11.6,14.3,6.6,6.5,11.4,5.0,3.0,93.9,2.7,0.1,0.0,2.0,2.5,92.7,6844,0.10266287054094791,0.14662535588678613,0.11145536761011555,0.17752470272986098,0.10592865516663875,0.23999330095461396,51.0,50.2,70.9,75.9,76.2,75.2,66.7,56.8,37.2,9.4,4.5,51.4,34.2,55.6,5.9,18.8,10.2,8,6.6,6.2,2.7,4.3,0.0,0,0,5.3,32.8,13.7,7.0,3.2,4176,0.2885536398467433,0.0792624521072797,0.1977969348659004,0.15900383141762453,0.2753831417624521,-0.8037913380379134,R
15,01031,97.3,6.2,6.4,7.0,6.2,5.8,12.8,12.9,13.4,7.0,5.7,9.6,5.2,1.7,75.7,16.9,1.2,1.4,3.3,7.3,70.1,23188,0.09382897803950435,0.11277143908722856,0.08688504477978162,0.24953993375046007,0.15556373451110292,0.16420071156913263,59.7,31.8,72.7,83.8,81.1,80.1,76.2,64.7,52.5,24.0,6.2,59.3,57.6,71.8,5.7,16.1,10.3,11,8.0,2.9,3.8,3.5,4.1,2,1.4,5.2,1.7,8.2,5.7,5.5,15870,0.3620667926906112,0.12930056710775048,0.1686830497794581,0.13623188405797101,0.2037177063642092,-0.5307744107744108,R
16,01033,92.3,5.7,6.0,5.6,5.7,5.8,12.0,12.1,13.4,6.9,7.3,11.1,6.2,2.2,79.0,16.2,0.6,0.5,2.0,2.8,78.2,26588,0.1054700662697967,0.1173312366617994,0.0870493092216107,0.20231382679995508,0.12054363697630012,0.2261709536111423,53.7,37.3,79.3,81.5,74.0,79.6,69.6,58.9,39.7,15.6,5.2,53.7,53.9,73.7,4.4,12.7,14.4,4.1,4.9,2.4,2.3,1.7,1.8,2.8,0,4.3,4.3,4.3,4.2,4.0,16813,0.31606494974127164,0.12276214833759591,0.2012728246000119,0.12531969309462915,0.2345803842264914,-0.3894427311195582,R
17,01035,96.2,5.6,6.4,5.2,7.0,4.5,10.8,10.6,12.4,6.4,8.8,13.8,5.8,2.5,50.7,47.8,0.2,0.5,0.8,0.7,50.0,7182,0.10055478502080444,0.11660392312264711,0.07132950267485635,0.1450366554388746,0.07311274024172776,0.3135526055082227,46.2,26.4,70.3,74.6,69.3,73.3,64.5,59.1,35.3,16.7,1.8,43.6,49,76.3,9.2,15,48.5,3.5,7.8,5.0,4.6,1.9,15.5,0,0,10.4,0,8.4,11.9,7.2,3162,0.18722327640733713,0.13567362428842505,0.24130297280202403,0.10815939278937381,0.32764073371283997,-0.07390156807949076,R
18,01037,103.2,3.4,4.1,6.2,5.3,4.2,10.1,12.0,14.4,10.6,7.0,12.8,7.6,2.3,65.8,33.6,0.1,0.0,0.0,1.0,64.8,6585,0.07538293216630197,0.12024070021881839,0.11892778993435449,0.18336980306345732,0.07943107221006565,0.25601750547045954,47.6,52.5,73.2,76.0,73.4,76.0,62.8,46.3,36.8,12.7,4.3,48.3,45.7,71.4,2.9,15.2,3,5.7,8.6,1.8,0.6,0.0,0.0,0,0,0.7,25.3,6.3,2.4,2.3,3028,0.2701453104359313,0.15158520475561427,0.21400264200792601,0.14861294583883752,0.21565389696169088,-0.3349151304982661,R
19,01039,93.6,5.8,6.5,5.8,5.8,5.4,11.7,10.9,12.8,7.0,7.6,11.5,7.1,2.2,84.6,13.5,0.1,0.5,1.1,1.7,83.3,18976,0.1160044039635672,0.11840656590931839,0.08674473692990357,0.208921362559637,0.09752110232542621,0.22730457411670504,54.0,39.9,76.3,85.9,76.4,78.9,73.1,59.3,45.7,17.1,6.5,54.2,53.6,48.1,8.4,29.6,22.9,13.9,4.6,6.2,3.8,3.8,4.3,2.9,0,7,8.3,18.1,6.9,8.9,11160,0.3347670250896057,0.11227598566308243,0.18772401433691757,0.1449820788530466,0.22025089605734768,-0.6807228915662651,R
20,01041,95.1,5.7,6.2,6.6,6.0,5.5,12.1,11.4,13.0,7.2,7.5,11.5,5.4,1.9,71.4,23.3,0.7,1.3,3.1,0.8,71.0,6815,0.0997840561454022,0.14261292064063344,0.11319057045168256,0.16060824185711714,0.1138204066942595,0.2495051286665467,53.3,24.8,73.4,77.5,77.5,68.5,80.3,63.0,39.6,19.0,4.0,54,48.9,79.2,3.4,11,12.6,6.6,0.7,3.6,1.8,0.0,0.0,0,0,3.6,15.8,3.1,3.1,3.8,3895,0.2957637997432606,0.10141206675224647,0.21540436456996148,0.1417201540436457,0.24569961489088576,-0.47816230920356656,R
21,01043,96.8,6.2,5.6,6.8,6.0,5.7,12.5,12.2,13.2,6.8,6.6,10.8,6.0,1.5,95.1,1.3,0.3,0.4,2.0,4.4,91.9,37842,0.10206480783722682,0.1159758854559156,0.10961567445365486,0.23505651846269782,0.09115297663903542,0.2063752825923135,54.4,39.7,73.8,77.8,76.7,75.9,69.5,63.4,44.5,14.8,6.3,54.4,45.2,60.5,5.1,26.2,8.2,5.5,2.5,4.3,4.9,1.8,0.7,0.5,6.2,4.7,18.6,7.3,4.3,4.3,24935,0.29179867655905356,0.10940445157409263,0.20304792460397034,0.15845197513535192,0.2372969721275316,-0.7742228381639626,R
22,01045,97.3,6.6,6.7,6.0,6.1,6.7,14.5,11.8,12.2,7.3,5.8,9.6,5.2,1.6,72.4,20.3,0.8,1.4,3.3,6.5,68.6,23103,0.11417413278198943,0.13267988871021263,0.0814508512647727,0.24422492789136482,0.12318452153048982,0.20019399137248897,56.4,36,79.2,80.9,69.7,79.0,66.9,63.2,41.5,20.0,6.6,55.9,57.1,65.9,8.0,37.5,17.3,12.5,5.1,6.0,4.9,4.4,0.1,2.9,0,5.7,6.4,15.8,5.9,8.2,12926,0.3092217236577441,0.10861828872040848,0.21746866780133065,0.16857496518644594,0.19611635463407087,-0.4627115209241058,R
23,01047,85.5,6.1,7.4,6.2,7.3,6.1,11.7,11.2,12.0,7.7,6.9,10.4,5.4,1.6,27.9,70.7,0.1,0.6,0.6,1.1,27.3,20419,0.17720652917603363,0.11396735411983189,0.09787247906688822,0.2191053334636562,0.08754439122927052,0.22725051314632,52.6,29.8,70.3,77.1,75.1,76.5,67.3,56.5,36.4,21.7,9.4,53.2,52.2,52.4,11.0,20.9,35.8,18.2,13.0,8.4,4.5,4.4,0.5,0,0,2.4,9.7,15.2,10.8,12.2,10732,0.2754379426015654,0.13464405516213193,0.16455460305628028,0.09485650391352964,0.33050689526649274,0.37539184952978055,D
24,01049,98.1,6.0,6.6,7.5,6.8,5.8,11.9,12.5,13.1,6.9,6.2,10.1,5.2,1.4,85.4,1.5,1.2,0.1,2.4,14.6,80.4,31309,0.13875666327931396,0.08457684833574014,0.15205647964914157,0.19446970102155425,0.08429159758249986,0.21290403094970672,55.1,35.8,78.9,70.6,82.6,77.2,72.8,51.6,41.2,19.4,5.8,53.5,49,66.2,4.0,9.8,7.2,5,5.5,3.1,1.9,1.5,3.4,4,2.9,3.5,4.8,4.3,2.9,4.7,21656,0.24879940893978575,0.11585703731067602,0.17436276320650165,0.12555411895086813,0.33542667159216843,-0.6978471181359859,R
25,01051,93.6,5.8,6.1,6.5,6.4,6.1,14.1,13.4,13.7,6.9,6.1,9.2,4.3,1.4,75.3,21.5,0.3,0.5,1.7,3.0,73.2,34165,0.07687586312720578,0.10885376707073807,0.08694184440693571,0.20247046186895812,0.16823691882768144,0.2181218352002455,55.8,28.7,75.7,71.7,69.6,74.3,68.5,61.1,50.6,19.7,5.0,55.9,55.6,68,4.6,21.6,5.8,7.6,2.5,3.9,3.2,4.1,1.0,4.4,0,3.8,5.1,7.7,5.3,2.9,26398,0.4155617849837109,0.10894764754905675,0.19501477384650354,0.10515948177892265,0.1753163118418062,-0.4825006093102608,R
26,01053,103.6,5.7,5.9,7.0,5.9,5.8,13.5,12.7,12.6,6.6,6.7,10.2,5.7,1.8,62.2,32.1,4.0,0.3,1.0,2.3,60.2,16586,0.1404969778374748,0.10473472128945602,0.12095366017461383,0.1754533243787777,0.07948287441235728,0.2719610476830087,48.2,25.3,69,67.8,67.5,60.4,62.6,55.3,43.5,16.8,8.2,47.9,46.6,63.7,11.0,15.1,25.7,15.2,13.2,12.1,8.5,2.7,1.4,1.3,0,7.8,0,17.6,11.9,11.1,9623,0.28036994700197443,0.18705185493089474,0.19443001143094668,0.11628390314870622,0.22186428348747791,-0.37404148334380893,R
27,01055,93.2,5.8,5.9,6.0,6.1,6.1,11.9,12.3,13.5,7.0,6.7,11.1,5.8,1.9,79.8,15.9,0.6,0.7,1.8,3.9,77.9,47704,0.10777011604718771,0.12699118233584009,0.08981043223372817,0.22573941039379158,0.1145935945796593,0.20385142115758872,54.3,38.1,72.4,78.8,82.5,76.3,68.8,58.7,42.6,18.7,5.4,53.9,54.7,63.6,5.5,15.9,11,7.4,7.5,5.5,2.4,3.5,1.3,0.8,0,5.2,8.3,6.3,6.2,4.5,31317,0.32723440942619025,0.14001979755404412,0.19596385349810008,0.10052048408212792,0.23626145543953764,-0.5020323499832383,R
28,01057,97.4,5.3,5.5,6.6,6.0,5.6,11.6,11.4,12.6,7.2,7.3,12.1,6.4,2.3,85.3,11.8,0.0,0.5,2.4,1.8,84.5,8505,0.1342716711349419,0.17753946976467083,0.09562109025915996,0.20263628239499554,0.07596067917783736,0.24151027703306524,50.5,34.8,77.2,69.5,68.6,76.0,67.6,54.5,42.1,21.5,3.0,51.4,46.6,52.4,6.3,10.1,24.3,10.2,0.8,2.3,5.6,5.1,1.2,0,14,5.3,0,14.2,5.9,7.4,4673,0.283115771453028,0.09907982024395463,0.1814680077038305,0.105927669591269,0.33040873100791784,-0.6736253707506275,R
29,01059,99.3,7.1,6.1,7.6,6.2,7.0,12.9,11.6,12.6,5.5,6.6,9.7,5.2,2.0,83.0,4.4,1.3,0.4,1.3,17.2,76.8,14052,0.10069843878389483,0.1004519309778143,0.1341824157764996,0.18475760065735414,0.09272801972062449,0.22440427280197206,55.4,43.2,72.8,79.2,79.1,78.0,67.6,63.3,37.5,16.6,7.7,52.9,59.2,69.9,4.8,22.1,10.6,1.9,7.4,2.2,2.2,1.3,2.1,4,7.5,5,1.5,6.3,4.4,3.2,9807,0.2517589476904252,0.09697155093300704,0.17365147343734066,0.11991434689507495,0.3577036810441521,-0.6590872952774686,R
30,01061,94.5,5.5,6.5,6.1,6.2,5.1,11.1,11.4,13.9,7.5,6.7,11.2,6.6,2.2,86.6,9.6,0.9,0.4,1.6,4.0,83.9,12869,0.14656988995551393,0.15340669632404588,0.10395691875439007,0.21620229454460313,0.08344649964879419,0.22317958323577616,51.1,22.4,68.3,79.8,76.2,78.5,69,54.3,48.2,16.7,3.6,52,44,49.5,5.4,20.3,8.8,12.7,9.0,4.8,2.6,1.4,0.6,0.6,0,5.6,5.4,4.7,5.4,5.1,7835,0.27581365666879387,0.14422463305679642,0.202680280791321,0.17064454371410337,0.2066368857689853,-0.7375846950976485,R
31,01063,85.9,6.9,6.7,5.0,4.5,7.2,12.0,9.6,10.9,7.8,7.8,11.9,7.5,1.9,17.3,79.5,0.4,0.0,2.7,1.7,17.2,5112,0.2454156479217604,0.14807457212713937,0.06693154034229828,0.21210268948655256,0.07105745721271393,0.2642114914425428,41.4,6,61.8,64.5,81.3,57.2,47.9,51.1,33.2,13.5,4.3,52.8,38.5,56.3,11.5,0,17.5,13,17.2,6.8,22.9,2.4,0.0,0,0,4.3,0,14,13.4,11.0,1818,0.22387238723872388,0.1771177117711771,0.18316831683168316,0.07975797579757976,0.33608360836083606,0.6301570680628272,D
32,01065,90.5,6.6,6.1,6.5,7.7,6.1,11.0,10.6,12.2,6.6,7.9,10.9,5.8,2.1,39.5,59.4,0.2,0.2,0.4,0.0,39.5,7792,0.14603120759837177,0.12466078697421981,0.07530529172320218,0.18266621438263228,0.08794097693351424,0.25992198100407055,51.2,24.1,70.5,91.3,71.3,74.3,71.9,55.1,48.4,13.8,5.4,54.6,48.7,100,10.9,28.8,27.9,14.6,14.1,11.7,3.1,9.2,0.0,0,0,4.5,100,15.7,10.4,10.9,3786,0.28129952456418383,0.14447966191230852,0.22636027469624934,0.1254622292657158,0.22239830956154252,0.18620253164556963,D
33,01067,94.4,5.2,5.2,6.8,6.3,5.5,9.5,12.4,12.9,7.1,7.0,13.4,6.2,2.5,70.7,26.6,0.2,0.4,1.2,2.6,69.2,9155,0.08025922233300099,0.12035322603617718,0.10027061672126478,0.1996154393960974,0.0992023928215354,0.19790628115653042,52.4,27.8,76.9,80.0,73.3,75.7,75,62.4,41.1,24.2,3.3,54,46.4,61.3,5.9,18.7,14.8,3.7,7.1,4.9,1.8,6.3,1.0,6.1,30,4.9,4.2,9.4,5.4,4.9,4772,0.3375943000838223,0.12573344509639564,0.1992875104777871,0.09115674769488684,0.24622799664710812,-0.43030759303075933,R
34,01069,92.1,6.1,6.2,6.8,6.2,5.7,13.0,12.4,13.0,7.3,6.1,10.1,5.3,1.8,69.1,26.9,0.3,0.9,2.2,3.3,66.5,47457,0.1202822251069763,0.1152819847108034,0.08353767008029232,0.22790759171113995,0.1445982979950959,0.1947930188951392,57.2,34.3,73.3,77.1,76.5,78.2,73.6,62.7,47.1,24.4,7.5,56.5,58.3,65.9,6.4,16.5,16.4,7.6,7.3,6.0,3.6,2.5,2.6,3.1,4.1,4.7,3.3,10.7,6.1,6.4,32203,0.35366270223271123,0.1570040058379654,0.22178057944911964,0.10610812657205851,0.1614445859081452,-0.42667792865960624,R
35,01071,95.9,5.3,6.1,5.9,5.9,5.5,11.4,12.1,13.6,7.7,7.1,11.6,6.1,1.8,91.5,3.5,1.2,0.4,2.7,2.9,89.2,25041,0.13279806735824926,0.13026384349391312,0.0945004973710388,0.19018521150111317,0.0940978636729667,0.25799346312349014,50.8,37.4,59.6,74.8,64.7,69.5,68.9,60.1,44.7,21.4,5.1,50.3,51.6,57.5,5.1,10.1,10.8,6.5,5.9,5.0,2.9,4.6,2.9,2.9,8.6,5,0.9,2,5.2,4.8,15589,0.31515812431842966,0.09545192122650586,0.15273590352171404,0.12188081339405991,0.31477323753929054,-0.6749449991538331,R
36,01073,89.8,6.4,6.4,6.3,6.2,6.4,14.5,12.7,12.4,6.6,6.6,9.0,4.5,1.9,51.8,42.9,0.2,1.6,1.7,3.9,49.9,307874,0.10799186648236786,0.10176416606693398,0.05853010277324012,0.20677069648956464,0.23217270778357837,0.16500835817940193,62.2,37.2,75.4,84.6,84.2,82.5,78.1,66.1,48.8,26.3,7.6,61.7,61.4,75.1,6.5,22,11.6,7.7,6.5,5.9,3.8,4.6,2.6,3.5,2.4,4,4.5,9.7,5.9,6.2,220021,0.4414896759854741,0.12528349566632277,0.22106980697297077,0.07595184096063558,0.13620518041459678,0.1314876875107412,D
37,01075,95.5,5.2,5.8,7.1,6.2,4.9,10.5,10.8,13.5,7.1,7.4,11.7,7.0,2.8,87.5,10.7,0.0,0.1,0.8,1.6,86.0,7403,0.13121397694524495,0.1317543227665706,0.07961095100864553,0.21253602305475505,0.08042146974063401,0.24468659942363113,51.8,31.2,63.4,80.7,67.8,85.6,72.8,60.9,44.6,18.0,4.5,53.9,39.1,32,8.8,59.2,6.3,20,20.4,4.1,2.2,0.0,15.0,1.4,0,8.6,0,8.2,7.6,7.5,4153,0.2824464242716109,0.08475800626053455,0.18950156513363833,0.1358054418492656,0.30748856248495066,-0.7223689698317809,R
38,01077,92.9,5.2,5.4,5.6,6.6,8.5,12.0,11.0,12.5,6.7,6.8,11.3,6.0,2.4,86.9,10.4,0.4,0.6,1.4,2.7,84.7,45001,0.10515404398257493,0.08255917703248833,0.06817823964729963,0.17682254763029445,0.14500341153624102,0.20541384558862122,55.6,40.7,75,77.6,78.7,79.8,76.1,64.8,43.1,18.0,4.2,55.4,54.8,61.4,4.7,13.3,5.5,2.9,7.2,4.2,4.3,1.3,5.1,3.7,0,4.3,4.8,7.1,3.8,4.9,28231,0.32776026354008003,0.13102617689773652,0.22184832276575395,0.11706988771208955,0.2022953490843399,-0.4466947833735538,R
39,01079,93.3,5.4,5.8,6.9,5.9,5.5,12.0,11.5,14.6,7.2,7.0,11.1,5.4,1.6,78.0,10.6,5.6,0.2,5.2,2.2,76.5,15296,0.12580572627791936,0.1387722980062959,0.11677409683705592,0.1791710388247639,0.08641882776195473,0.26656423324838857,49.3,34.3,60.9,64.8,75.6,71.7,62.7,53.9,47.9,13.6,3.7,48.9,45.9,43.3,5.3,18.3,16.8,2.8,3.9,2.2,5.3,4.0,1.3,5,7,4.9,0,9.3,5.8,3.2,9484,0.27161535217207927,0.09141712357654998,0.17186840995360608,0.14382117250105442,0.32127794179671026,-0.5464412700392989,R
40,01081,97.3,5.9,5.9,6.0,8.3,13.7,14.3,12.1,11.7,5.7,4.9,7.2,3.2,1.1,70.3,22.9,0.2,4.3,1.9,3.7,67.4,68972,0.1543150637605276,0.08940293121847481,0.043952922389503504,0.20123912692989795,0.21795275348744367,0.13844594750216885,61.0,31.6,57.8,82.5,83.0,82.8,78.7,66.8,49.1,22.9,7.7,59.2,64.9,75.2,5.2,19.9,9.3,5.1,6.2,2.2,1.7,5.4,4.4,1.8,0,4.2,3,7.1,3.9,5.4,50817,0.4441230296947872,0.13060589960052738,0.18397386701300747,0.09087510085207706,0.15042210283960092,-0.20099651499671095,R
