,fips,Sex ratio,Population under 5,Population 5 to 9,Population 10 to 14,Population 15 to 19,Population 20 to 24,Population 25 to 34,Population 35 to 44,Population 45 to 54,Population 55 to 59,Population 60 to 64,Population 65 to 74,Population 75 to 84,Population over 85,Population White (including Hispanic),Population Black,Population Native American,Population Asian,Population Mixed,Population Hispanic,Population White (not Hispanic),Total Housing Units,Poverty Rate,Disability Rate,Less than high school graduate,Some college or associate's degree,Bachelor's degree or higher,High school graduate (or equivalency),LFPR rate total,LFPR 16 to 19 years,LFPR 20 to 24 years,LFPR 25 to 29 years,LFPR 30 to 34 years,LFPR 35 to 44 years,LFPR 45 to 54 years,LFPR 55 to 59 years,LFPR 60 to 64 years,LFPR 65 to 74 years,LFPR 75 years and over,LFPR White,LFPR Black,LFPR Hispanic,Unemployment rate total,Unemployment rate 16 to 19,Unemployment rate 20 to 24,Unemployment rate 25 to 29,Unemployment rate 30 to 34,Unemployment rate 35 to 44,Unemployment rate 45 to 54,Unemployment rate 55 to 59,Unemployment rate 60 to 64,Unemployment rate 65 to 74,Unemployment rate 75 years and over,Unemployment rate White,Unemployment rate Hispanic,Unemployment rate Black,Unemployment rate Male,Unemployment rate Female,Total Population,STEM,Service,Office,Infrastructure,Supply Chain,Margin,Result
2581,48177,103.4,7.3,7.0,8.2,6.7,6.3,12.1,11.1,11.8,6.7,6.4,9.2,5.5,1.7,66.5,6.7,0.3,0.4,1.6,50.7,41.7,8998,0.09507064765679944,0.09826737420881018,0.14525925452336808,0.12230675787993095,0.07863947317946422,0.2920529377917013,58.3,42.2,67.3,72.6,81.2,80.0,75.2,63.2,55.7,27.6,5.2,52.8,57.7,64.6,3.4,15.3,1,8.7,2.5,3.4,1.6,0.9,0.9,4.4,0,3.5,2.7,5.7,2.4,3.1,7307,0.2308745039003695,0.11153688244149446,0.1913233885315451,0.18872314219241823,0.2775420829341727,-0.4810407949790795,R
2582,48179,111.6,7.2,7.8,6.4,6.0,6.6,13.1,13.5,12.1,6.9,4.7,8.4,5.1,2.3,85.2,4.5,1.3,0.7,2.8,29.0,63.3,10030,0.10056352756637425,0.09951780630918491,0.13391041654563413,0.21704525649218614,0.08493580433393365,0.2175681171207808,55.5,39.4,79.4,78.4,67.1,66.6,69,58.6,47.5,26.4,7.0,55,36.5,59.9,5.5,18.9,4.6,6.1,5.0,9.4,2.8,4.0,0.0,2,0,5.2,2.3,29.1,6.4,3.7,6715,0.28622486969471334,0.1490692479523455,0.18897989575577065,0.22159344750558452,0.154132539091586,-0.7724235415060395,R
2583,48181,95.3,6.3,6.1,7.3,6.7,6.2,11.8,11.8,12.5,7.5,6.2,10.4,5.1,2.1,86.5,5.5,1.1,1.6,3.5,13.4,75.4,55971,0.0849146110056926,0.10507106068233744,0.07054757386825698,0.2519556209580606,0.12491770901909151,0.1854257832165124,62.0,43.4,74.8,82.2,83.9,85.4,77.6,71.3,59.2,27.4,6.3,60.5,57.9,74,4.6,11.2,7.7,6.6,3.2,4.7,3.3,2.7,3.7,1.9,1,4.6,2.8,6.2,3.7,5.1,43941,0.3271204569764002,0.1486766345781844,0.22907990259666372,0.1263967592908673,0.16872624655788443,-0.498654874398897,R
2584,48183,94.9,7.4,7.4,7.1,6.7,6.8,13.8,12.0,11.7,6.5,5.7,8.4,4.5,2.2,74.6,20.0,0.2,1.3,2.7,18.7,57.5,52069,0.11562763268744734,0.09003791069924179,0.10756107834877843,0.22749578770008425,0.13215037910699243,0.1773167649536647,61.0,36.3,76,79.3,83.6,75.7,75.4,72.7,53.3,29.7,6.6,58.9,59.4,69.2,4.7,9.5,9.3,5.3,4.8,3.0,3.7,3.6,3.3,2.8,4.1,3.4,4.8,8,4.7,4.3,39714,0.32540162159439995,0.14095784861761596,0.21697638112504405,0.12882107065518458,0.18784307800775546,-0.3688258096786295,R
2585,48185,118.4,5.5,6.4,6.7,6.4,6.5,11.7,12.7,13.0,6.6,7.7,11.0,4.2,1.7,77.7,15.2,0.5,0.2,2.8,24.2,58.5,11325,0.08275058275058275,0.07149901380670612,0.11798457952304106,0.2047247624170701,0.08736776044468351,0.23744844898691053,50.8,35.9,65.9,63.6,52.7,69.6,63.5,48.8,52.1,26.0,10.6,53.1,39.5,54,5.9,33.3,17.1,2.2,3.0,3.4,2,0.7,4.0,9.5,0,4.6,7.7,9.9,4.6,4.2,7740,0.28501291989664085,0.13992248062015503,0.19392764857881137,0.1830749354005168,0.19806201550387598,-0.5315772514902529,R
2586,48187,97.8,6.3,7.5,7.0,7.4,6.1,12.8,14.1,13.6,6.2,5.4,8.3,4.0,1.3,73.5,8.2,0.3,1.7,3.2,37.9,50.4,58406,0.05713751534315838,0.07870328973573187,0.06403075947617848,0.20535039302871913,0.19967647273998326,0.20416358448694916,64.2,34.4,73.2,80.7,82.4,84.0,82.5,72.0,56.4,24.4,5.5,62.2,67.5,66.4,3.6,13.7,8.7,3.3,3.1,2.9,1.7,2.5,3.1,1.9,1.3,3.6,3.6,3.6,3.6,2.8,58608,0.3647113022113022,0.13522044772044772,0.22935435435435436,0.11015561015561015,0.16055828555828555,-0.24153879849006044,R
2587,48189,108.9,6.8,7.0,8.7,8.3,7.5,13.7,11.9,12.0,5.7,5.2,7.2,3.9,2.2,85.8,5.0,0.7,0.3,4.6,59.4,33.8,13401,0.09630555338592517,0.06541435601031008,0.1302819651644146,0.16871045848629226,0.11262985237834883,0.2289307193626494,58.9,44.1,67.7,70.3,64.8,78.8,73.2,69.9,56.0,27.0,6.1,55.9,44.7,62.8,4.8,17.2,13.9,3.5,3.7,3.5,2,2.0,0.4,0,0,3.1,5.8,3.4,5.4,2.5,10397,0.30595364047321344,0.13205732422814273,0.1969798980475137,0.15908435125516976,0.20592478599596037,-0.5109534738159817,R
2588,48191,101.3,3.4,5.8,9.0,8.1,5.3,9.4,9.1,12.2,5.6,9.5,11.5,7.5,3.4,78.0,6.5,1.1,0.3,4.0,34.8,55.6,1916,0.13015095879232966,0.08037535699714403,0.135046919624643,0.19216646266829865,0.07874337005303958,0.16483068135454917,56.3,40.9,75.5,74.8,78.3,84.8,73.9,69.8,50.5,31.5,19.6,54.5,34.1,64,10.2,37.6,11.4,18.9,22.2,14.1,4.4,1.7,0.0,0,3.1,5.5,12.7,20.3,8.9,10.4,780,0.2782051282051282,0.16025641025641027,0.2205128205128205,0.24743589743589745,0.09358974358974359,-0.7074422583404619,R
2589,48193,99.9,5.9,5.3,6.0,6.7,5.0,10.6,10.0,10.8,8.2,6.9,12.1,7.3,5.1,95.3,0.8,1.4,0.0,1.3,12.7,84.0,4542,0.10548025928108426,0.11888626988803772,0.09148497348261639,0.1535061873895109,0.12286387743076016,0.20388921626399528,51.4,31.7,86,63.7,73.7,89.5,76.6,57.4,43.1,24.2,4.9,50.6,42.4,60.3,2.0,2.1,4.2,3.4,3.1,0.8,2.7,2.0,0.0,0,0,1.6,3.5,0,3.9,0.4,2512,0.37101910828025475,0.09315286624203821,0.14729299363057324,0.19745222929936307,0.1910828025477707,-0.6837508618708343,R
2590,48195,104.2,8.1,6.8,8.8,8.5,6.8,10.9,10.5,13.7,5.4,5.1,8.6,4.7,2.2,91.6,0.3,0.1,0.1,1.0,48.0,51.6,2349,0.10878048780487805,0.0773170731707317,0.1953658536585366,0.14878048780487804,0.09780487804878049,0.17317073170731706,60.6,24.3,73.2,84.7,81.6,76.1,88.2,52.3,70.9,27.1,7.4,55.7,70.6,67.2,4.3,4.7,17.9,1.6,0.0,7.4,2.4,0.0,0.0,0,0,1.6,6.9,0,3.6,6.1,1822,0.34522502744237105,0.13885839736553238,0.12458836443468715,0.25466520307354557,0.13666300768386389,-0.8221787982413288,R
